"Idade simples";"Masculino";"Feminino";"Total"
"0 anos";1387425;1323288;2710713
"1 ano";1400324;1336324;2736648
"2 anos";1415676;1351305;2766981
"3 anos";1431844;1367017;2798861
"4 anos";1448684;1383371;2832055
"5 anos";1466201;1400379;2866580
"6 anos";1484413;1418108;2902521
"7 anos";1503422;1436615;2940037
"8 anos";1523286;1455991;2979277
"9 anos";1543983;1476196;3020179
"10 anos";1565404;1497214;3062618
"11 anos";1587580;1519051;3106631
"12 anos";1610153;1541481;3151634
"13 anos";1632971;1564334;3197305
"14 anos";1655709;1587275;3242984
"15 anos";1677111;1609853;3286964
"16 anos";1696984;1631901;3328885
"17 anos";1716117;1653377;3369494
"18 anos";1734389;1674226;3408615
"19 anos";1752456;1694897;3447353
"20 anos";1731907;1681270;3413177
"21 anos";1732249;1684101;3416350
"22 anos";1726835;1683338;3410173
"23 anos";1720976;1682234;3403210
"24 anos";1715687;1681514;3397201
"25 anos";1710765;1680957;3391722
"26 anos";1706507;1680758;3387265
"27 anos";1703458;1681517;3384975
"28 anos";1701578;1683326;3384904
"29 anos";1700866;1686239;3387105
"30 anos";1699072;1687959;3387031
"31 anos";1694176;1686429;3380605
"32 anos";1696704;1692630;3389334
"33 anos";1710774;1710905;3421679
"34 anos";1730079;1734869;3464948
"35 anos";1746664;1755445;3502109
"36 anos";1764322;1776378;3540700
"37 anos";1763485;1779196;3542681
"38 anos";1734697;1754441;3489138
"39 anos";1687340;1711282;3398622
"40 anos";1641246;1668885;3310131
"41 anos";1593351;1624265;3217616
"42 anos";1546150;1580310;3126460
"43 anos";1503247;1540549;3043796
"44 anos";1463464;1503834;2967298
"45 anos";1420711;1464502;2885213
"46 anos";1375506;1422909;2798415
"47 anos";1336786;1387851;2724637
"48 anos";1307809;1362619;2670428
"49 anos";1285350;1343984;2629334
"50 anos";1261199;1324041;2585240
"51 anos";1235972;1303399;2539371
"52 anos";1212043;1284019;2496062
"53 anos";1188942;1265529;2454471
"54 anos";1165948;1247013;2412961
"55 anos";1141632;1227616;2369248
"56 anos";1116610;1207963;2324573
"57 anos";1086532;1182625;2269157
"58 anos";1048889;1148686;2197575
"59 anos";1006374;1109089;2115463
"60 anos";962892;1068688;2031580
"61 anos";917780;1026547;1944327
"62 anos";873669;984934;1858603
"63 anos";831639;944988;1776627
"64 anos";791107;906111;1697218
"65 anos";748699;865178;1613877
"66 anos";705082;822779;1527861
"67 anos";662671;781090;1443761
"68 anos";621581;740274;1361855
"69 anos";581856;700389;1282245
"70 anos";541370;659688;1201058
"71 anos";500762;618790;1119552
"72 anos";461449;578661;1040110
"73 anos";423029;538932;961961
"74 anos";386325;500408;886733
"75 anos";349680;461555;811235
"76 anos";312959;422000;734959
"77 anos";281842;388257;670099
"78 anos";257201;361645;618846
"79 anos";236880;339724;576604
"80 anos";215880;316090;531970
"81 anos";195055;291880;486935
"82 anos";175011;267708;442719
"83 anos";154902;242424;397326
"84 anos";135677;217419;353096
"85 anos";117178;192254;309432
"86 anos";99301;166818;266119
"87 anos";84278;144977;229255
"88 anos";71927;126793;198720
"89 anos";61561;111209;172770
"90 anos e mais";237432;505777;743209
"Total";104546709;107530666;212077375
&
